frame,x_angle,y_angle,direction
0,0.07149505203656491,0.18115258088037878,Forward
1,0.6770490637978319,-0.059471290965752634,Forward
2,1.4631480383174158,-0.2828165997207699,Forward
3,1.0565958852808242,-0.18418495735679768,Forward
4,1.208947972080445,-0.20400572529455732,Forward
5,1.147274638112138,-0.1595300236291141,Forward
6,0.7570298818223036,-0.4432395360784705,Forward
7,1.174750692812234,-0.15061225730895025,Forward
8,1.0236471327246175,-0.2986311821979405,Forward
9,0.9762649876761709,-0.26506513308066,Forward
10,0.9555925437941561,-0.19038323175841915,Forward
11,1.4828910490684033,-0.14192044266175907,Forward
12,1.5159350909262612,-0.14905968928367888,Forward
13,1.5417910283306875,-0.07289258395083627,Forward
14,1.0925296015962973,-0.009153918802896,Forward
15,1.1503191992686472,0.0072474068428727174,Forward
16,1.1715714295136446,-0.0794104006394092,Forward
17,1.1911835296212163,-0.31091497501236176,Forward
18,0.9851664554757946,0.020843802559012446,Forward
19,1.2497853250695774,0.0632307506104253,Forward
20,1.736345062801977,0.5715428030695074,Forward
21,1.5641866077881648,0.12412185582193402,Forward
22,1.294798944958451,0.15307688251802223,Forward
23,1.9947023082136253,-0.4021220885213015,Forward
24,2.537904355635562,-0.13582673104865636,Forward
25,3.5608555294867856,-1.0448964897417816,Forward
26,4.331991158864765,-0.7348617446737166,Forward
27,5.177691930073793,-0.721645650519322,Forward
28,5.763625185707661,-0.3093164509891764,Forward
29,6.619720485460115,-0.4063121437567408,Forward
30,7.966385079449621,-0.3409746183748413,Forward
31,8.484863027079289,0.15750376980589295,Forward
32,8.025846625638344,-0.09792637083746365,Forward
33,8.038417669460513,0.019110681332309486,Forward
34,7.8706527561132,-1.0431540990252002,Forward
35,7.881159054137943,-0.4417819695979614,Forward
36,8.764249389861844,-0.05706613854696477,Forward
37,9.535149805007517,0.005059759696464605,Forward
38,10.256229964934812,0.14936991276539094,Forward
39,10.030422994015474,-0.07766567079533324,Forward
40,10.388658488840925,0.09845408512834598,Forward
41,10.45843210115972,0.30419720904498904,Forward
42,10.954707940632506,0.3290149056518175,Forward
43,10.817453878256277,0.34394612370561606,Forward
44,10.877483242403523,0.20822353996789422,Forward
45,10.83471632433763,0.09392858043014889,Forward
46,10.958885896723812,0.3460784516023295,Forward
47,10.708980963192719,0.009859455547972167,Forward
48,10.442307686911324,-0.3440205493113649,Forward
49,10.860422049326209,-0.14142099243348197,Forward
50,10.689593334626025,-0.586883192659658,Forward
51,2.3847904029522886,0.35492695863611423,Forward
52,3.22073416805764,-0.2164971489100302,Forward
53,3.5284901068118577,0.8884904769103066,Forward
54,3.9513310301024105,-3.1973972512640385,Forward
55,5.020501854119981,-2.759055149352754,Forward
56,5.128965659121623,-2.8303471264254467,Forward
57,6.787131739944523,-1.9684792926993566,Forward
58,7.360382764287592,-3.1954601671763054,Forward
59,3.2344433070900314,-5.257052844577804,Forward
60,3.453664249324814,-1.0591251018136896,Forward
61,6.310482043478481,-0.819640386185729,Forward
62,5.962331851939559,-0.2825194909058341,Forward
63,6.363935681570756,-0.409263065658687,Forward
64,6.874267783651933,-1.0164930601456321,Forward
65,7.0696524892733645,-1.7167632096980159,Forward
66,6.8855416372985685,-1.3233920672826136,Forward
67,6.693187519583676,-2.037922696779586,Forward
68,6.714226097816147,-1.545458996613944,Forward
69,6.431483946436822,-1.5647580829156484,Forward
70,6.573048015520374,-1.3962911252951662,Forward
71,6.264286387323863,-2.0744063902904784,Forward
72,6.584588775475968,-1.4911400917671984,Forward
73,6.75775998441832,-1.9653627627546701,Forward
74,6.419817049622645,-1.9068709151731302,Forward
75,6.368402307190672,-1.9323838936681728,Forward
76,6.824862909278162,-1.7421797910363668,Forward
77,6.314862483953369,-2.1137910176376655,Forward
78,7.001450380331149,-1.331938566956867,Forward
79,7.095928810125456,-1.4687450624621161,Forward
80,6.026157477157859,-1.6195674633141717,Forward
81,6.34130437589946,-1.0969090506109591,Forward
82,6.610272333608855,-0.46940236424658377,Forward
83,5.630064135993044,-0.8830127097913323,Forward
84,2.9855094920867105,-8.651957095041851,Forward
85,2.5906212709081804,-9.850409249605118,Forward
86,2.1812593547934807,-9.281803072256023,Forward
87,2.883215041976377,-8.521479487236677,Forward
88,3.8537146615653817,-7.32422001586866,Forward
89,6.050925047518373,-2.709680476368668,Forward
90,4.75335231417541,-1.3674618225577093,Forward
91,4.412304242926538,-0.14867004649168236,Forward
92,3.6978064605723104,0.040144128165178476,Forward
93,3.471813943681096,0.21433997982766906,Forward
94,3.897090607500536,0.2594200528962042,Forward
95,3.542782056377465,0.5694045198469608,Forward
96,3.6362778759554546,0.35506986065685414,Forward
97,3.6802712666530297,0.5030873954585161,Forward
98,3.6406823067911755,0.44908749600457404,Forward
99,3.656127093591547,0.3514012548748643,Forward
100,3.480100488734821,0.34626934191700415,Forward
101,3.7450993357602718,0.37671773231162864,Forward
102,3.54175780178663,0.3662903728901894,Forward
103,3.7217618327756634,0.5146587741159027,Forward
104,3.5667709163735264,0.4060525862328153,Forward
105,3.6793657290397537,0.41272102910557423,Forward
106,3.6390347664189533,0.40527186730581094,Forward
107,3.6569632776240657,0.4626281674856247,Forward
108,3.545230295911763,0.4720360363733571,Forward
109,3.6164047543333244,0.45863431271049127,Forward
110,3.6179240288125847,0.5150616159980704,Forward
111,3.6260388803224046,0.556449647278394,Forward
112,3.6364771474623847,0.6746072653155736,Forward
113,3.5520858069516676,0.6451118380878433,Forward
114,3.6197223998977224,0.7652751100416545,Forward
115,3.650867167480957,0.7156433595364178,Forward
